"Other_symbol"	"Type_of_symbol"	"Approved.symbol"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"LRRN6A"	"Previous_symbol"	"LINGO1"	"    84894"	"ENSG00000169783"
"LRRN6C"	"Previous_symbol"	"LINGO2"	"   158038"	"ENSG00000174482"
"LRRN6B"	"Previous_symbol"	"LINGO3"	"   645191"	"ENSG00000220008"
"LRRN6D"	"Previous_symbol"	"LINGO4"	"   339398"	"ENSG00000213171"
"LINS"	"Previous_symbol"	"LINS1"	"    55180"	"ENSG00000140471"
"MRT27"	"Previous_symbol"	"LINS1"	"    55180"	"ENSG00000140471"
"LIPL1"	"Previous_symbol"	"LIPJ"	"   142910"	"ENSG00000204022"
"LIPL2"	"Previous_symbol"	"LIPK"	"   643414"	"ENSG00000204021"
"LIPL3"	"Previous_symbol"	"LIPM"	"   340654"	"ENSG00000173239"
"LIPL4"	"Previous_symbol"	"LIPN"	"   643418"	"ENSG00000204020"
"C5orf11"	"Previous_symbol"	"LIX1"	"   167410"	"ENSG00000145721"
"C20orf201"	"Previous_symbol"	"LKAAEAR1"	"   198437"	"ENSG00000171695"
"C7orf34"	"Previous_symbol"	"LLCFC1"	"   135927"	"ENSG00000165131"
"DLG4"	"Previous_symbol"	"LLGL1"	"     3996"	"ENSG00000131899"
"LLGL"	"Previous_symbol"	"LLGL1"	"     3996"	"ENSG00000131899"
"HUGL"	"Previous_symbol"	"LLGL1"	"     3996"	"ENSG00000131899"
"HUGL-1"	"Previous_symbol"	"LLGL1"	"     3996"	"ENSG00000131899"
"C12orf31"	"Previous_symbol"	"LLPH"	"    84298"	"ENSG00000139233"
"LLPH-AS1"	"Previous_symbol"	"LLPH-DT"	"103625681"	"ENSG00000239335"
"F5F8D"	"Previous_symbol"	"LMAN1"	"     3998"	"ENSG00000074695"
"C5orf8"	"Previous_symbol"	"LMAN2"	"    10960"	"ENSG00000169223"
"C7orf2"	"Previous_symbol"	"LMBR1"	"    64327"	"ENSG00000105983"
"C6orf209"	"Previous_symbol"	"LMBRD1"	"    55788"	"ENSG00000168216"
"C16orf26"	"Previous_symbol"	"LMF1"	"    64788"	"ENSG00000103227"
"TMEM112"	"Previous_symbol"	"LMF1"	"    64788"	"ENSG00000103227"
"TMEM153"	"Previous_symbol"	"LMF2"	"    91289"	"ENSG00000100258"
"TMEM112B"	"Previous_symbol"	"LMF2"	"    91289"	"ENSG00000100258"
"LMN1"	"Previous_symbol"	"LMNA"	"     4000"	"ENSG00000160789"
"CMD1A"	"Previous_symbol"	"LMNA"	"     4000"	"ENSG00000160789"
"LGMD1B"	"Previous_symbol"	"LMNA"	"     4000"	"ENSG00000160789"
"PRO1"	"Previous_symbol"	"LMNA"	"     4000"	"ENSG00000160789"
"LMNL1"	"Previous_symbol"	"LMNA"	"     4000"	"ENSG00000160789"
"LMN2"	"Previous_symbol"	"LMNB2"	"    84823"	"ENSG00000176619"
"IFLTD1"	"Previous_symbol"	"LMNTD1"	"   160492"	"ENSG00000152936"
"C11orf35"	"Previous_symbol"	"LMNTD2"	"   256329"	"ENSG00000185522"
"RBTN1"	"Previous_symbol"	"LMO1"	"     4004"	"ENSG00000166407"
"RBTNL1"	"Previous_symbol"	"LMO2"	"     4005"	"ENSG00000135363"
"RBTNL2"	"Previous_symbol"	"LMO3"	"    55885"	"ENSG00000048540"
"FBXO20"	"Previous_symbol"	"LMO7"	"     4008"	"ENSG00000136153"
"C13orf45"	"Previous_symbol"	"LMO7DN"	"   729420"	"ENSG00000178734"
"C13orf45-IT1"	"Previous_symbol"	"LMO7DN-IT1"	"104326189"	"ENSG00000223458"
"LMX1"	"Previous_symbol"	"LMX1A"	"     4009"	"ENSG00000162761"
"NPS1"	"Previous_symbol"	"LMX1B"	"     4010"	"ENSG00000136944"
"LINC01468"	"Previous_symbol"	"LNCAROD"	"101928687"	"ENSG00000231131"
"LINC01384"	"Previous_symbol"	"LNCNEF"	"101929685"	"ENSG00000237396"
"LINC02407"	"Previous_symbol"	"LNCOG"	"105369848"	"ENSG00000257219"
"LINC01759"	"Previous_symbol"	"LNCTAM34A"	"102724571"	"ENSG00000234546"
"KIAA1715"	"Previous_symbol"	"LNPK"	"    80856"	"ENSG00000144320"
"LNX"	"Previous_symbol"	"LNX1"	"    84708"	"ENSG00000072201"
"PDZRN1"	"Previous_symbol"	"LNX2"	NA	"ENSG00000139517"
"PRSS15"	"Previous_symbol"	"LONP1"	"     9361"	"ENSG00000196365"
"RNF127"	"Previous_symbol"	"LONRF3"	"    79836"	"ENSG00000175556"
